time,open,high,low,close,Volume,Volume MA,VMA,Edge Line,Oversold,Oversold,Plot,Plot,Plot,VMA,UpperBand,LowerBand,VMA,UpperBand,LowerBand,VMA,UpperBand,LowerBand,VMA,UpperBand,LowerBand,VMA,Plot,Plot,VMA,Edge Line,super_trend_up,super_trend_down,smack_down,up_smack,Shapes,stop_loss,VMA,Edge Line,first smack,long trailingn stop,short trailingn stop,stop_percentage,actual_stop,third smack,second smack,first smack,first smack,elliot wave ocolator,vwaprizz14,vwaprizz14_ema,Plot,Plot,RIZZY-2,a boaring middle line,a_boaring_line,a_boaring_line,buy,sell_sig,sell_sig,sell_sig,sell_sig,test,rizzy,sto1,sto2,Plot,Plot,weeklysto1,weeklysto2,monthlysto1,monthlysto2,Plot,Plot,storeversal,sto oversold,buyssto,,third smack,weeklyup,monthlyup
1596483900,14.53,14.76,14.51,14.72,1315,538.85,NaN,14.253844267217666,0,0,12.999,11.761000000000001,14.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.51,14.56,14.850754936644604,14.253844267217666,14.253844267217666,15.506926689293103,0,0,1,14.2198,14.850754936644604,14.253844267217666,1,14.110067748767175,15.239932251232824,13.774,13.6135,0,0,0,0,1,50.5983245586648,73.88965522594397,50.5983245586648,73.88965522594397,62.47399553861612,50,90,10,0,0,0,0,0,0,62.47399553861612,23.305860805860803,28.838013838013932,23.305860805860803,28.838013838013932,100,100,0,0,100,100,0,0,0,0,1,1,0
1596549600,14.95,14.99,14.95,14.99,400,552,NaN,14.253844267217666,0,0,12.999,11.761000000000001,14.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.53,14.72,14.850754936644604,14.253844267217666,14.253844267217666,15.506926689293103,0,0,1,14.651,14.850754936644604,14.253844267217666,1,14.101848623855235,15.288151376144766,14.2005,13.6135,0,0,0,0,1,46.95209553449507,70.29798060041745,46.95209553449507,70.29798060041745,85.40096514326355,50,90,10,0,0,0,0,0,0,85.40096514326355,34.704037097654144,27.813433611306056,34.704037097654144,27.813433611306056,100,100,0,0,100,100,1,0,0,0,1,1,0
1596550500,14.88,15,14.88,14.95,800,572,NaN,14.253844267217666,0,0,12.999,11.761000000000001,14.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.95,14.99,14.850754936644604,14.253844267217666,14.253844267217666,15.506926689293103,0,0,1,14.582400000000002,14.850754936644604,14.253844267217666,1,14.110288007865575,15.289711992134425,14.1325,13.6135,0,0,0,0,1,37.53599659642344,65.92971606655158,37.53599659642344,65.92971606655158,72.31083591020182,50,90,10,0,1,0,1,0,0,72.31083591020182,50.68194217130388,36.23061335827306,50.68194217130388,36.23061335827306,100,100,0,0,100,100,0,0,0,0,1,1,0
1596552300,14.665,14.665,14.665,14.665,100,552,NaN,14.253844267217666,0,0,12.999,11.761000000000001,14.665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.88,14.95,14.850754936644604,14.253844267217666,14.253844267217666,15.506926689293103,0,0,1,14.371699999999999,14.850754936644604,14.253844267217666,1,14.100446007303749,15.299553992696252,13.93175,13.93175,0,1,0,0,1,50.44259524324338,63.86476662344382,50.44259524324338,63.86476662344382,22.709133476122588,50,90,10,0,0,0,0,0,0,22.709133476122588,49.822695035460946,45.06955810147311,49.822695035460946,45.06955810147311,100,100,0,0,100,100,0,0,0,0,1,1,0
1596554100,14.74,14.74,14.74,14.74,100,547,NaN,14.253844267217666,0,0,12.999,11.761000000000001,14.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.665,14.665,14.850754936644604,14.253844267217666,14.253844267217666,15.506926689293103,0,0,1,14.4452,14.850754936644604,14.253844267217666,1,14.113807006782052,15.286192993217949,14.003,13.93175,0,0,0,0,1,49.501607794950175,61.94967877964467,49.501607794950175,61.94967877964467,43.211361394648414,50,90,10,0,0,0,0,0,0,43.211361394648414,45.091185410334305,48.5319408723665,45.091185410334305,48.5319408723665,100,100,0,0,100,100,0,0,0,0,0,1,0
1596555000,14.75,14.87,14.72,14.72,300,542.9,NaN,14.253844267217666,0,0,12.999,11.761000000000001,14.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.74,14.74,14.850754936644604,14.253844267217666,14.253844267217666,15.506926689293103,0,0,1,14.425600000000001,14.850754936644604,14.253844267217666,1,14.118177934869047,15.281822065130953,13.984,13.93175,0,0,0,0,1,49.07909827640308,60.23360137921246,49.07909827640308,60.23360137921246,37.855810425274406,50,90,10,0,0,0,0,0,0,37.855810425274406,41.997895721299976,45.637258722365196,41.997895721299976,45.637258722365196,100,100,0,0,100,100,0,0,0,0,0,1,0
1596555900,14.92,14.92,14.88,14.88,200,520.35,NaN,14.253844267217666,0,0,12.999,11.761000000000001,14.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.72,14.75,14.850754936644604,14.253844267217666,14.253844267217666,15.506926689293103,0,0,1,14.582400000000002,14.850754936644604,14.253844267217666,1,14.22687951094983,15.28312048905017,14.136000000000001,13.93175,0,0,0,0,1,48.51539834520904,58.671174308012006,48.51539834520904,58.671174308012006,79.16732855783644,50,90,10,0,0,0,0,0,0,79.16732855783644,59.267399267399334,48.785493466344654,59.267399267399334,48.785493466344654,100,100,0,0,100,100,1,0,0,0,0,1,0
1596557700,14.9,14.9,14.88,14.88,300,520.35,NaN,14.274553279709446,0,0,12.999,11.761000000000001,14.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.88,14.92,14.850754936644604,14.274553279709446,14.274553279709446,15.48647290708378,0,0,1,14.582400000000002,14.850754936644604,14.274553279709446,1,14.399959545881984,15.265040454118015,14.136000000000001,13.93175,0,0,0,0,1,50.189058709478886,57.54022556154092,50.189058709478886,57.54022556154092,79.16732855783644,50,90,10,0,0,0,0,0,0,79.16732855783644,69.74358974358984,57.00296157742983,69.74358974358984,57.00296157742983,100,100,0,0,100,100,0,0,0,0,1,1,0
1596558600,14.735,14.735,14.735,14.735,100,506.6,NaN,14.280436682081744,0,0,12.999,11.761000000000001,14.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.88,14.9,14.850754936644604,14.280436682081744,14.280436682081744,15.480589504711482,0,0,1,14.440299999999999,14.850754936644604,14.280436682081744,1,14.403355292604699,15.2616447073953,13.998249999999999,13.93175,1,0,0,0,1,52.32768729002483,56.84522045867211,52.32768729002483,56.84522045867211,23.21767639672599,50,90,10,0,1,0,1,0,0,23.21767639672599,71.94444444444449,66.98514448514466,71.94444444444449,66.98514448514466,100,100,0,0,100,100,0,0,0,0,1,1,0
1596563100,14.84,14.9,14.84,14.9,200,497.85,NaN,14.28357494268853,0,0,12.999,11.761000000000001,14.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.735,14.735,14.850754936644604,14.28357494268853,14.28357494268853,15.477451244104696,0,0,1,14.5432,14.850754936644604,14.28357494268853,1,14.40436562884722,15.180634371152777,14.094999999999999,13.93175,0,0,0,0,1,51.656464049743136,56.15338627081491,51.656464049743136,56.15338627081491,70.56357663772182,50,90,10,0,0,0,0,0,0,70.56357663772182,73.05555555555559,71.58119658119675,73.05555555555559,71.58119658119675,100,100,0,0,100,100,0,0,0,0,0,1,0
1596564000,14.79,14.79,14.7,14.7,300,507.85,NaN,14.28357494268853,0,0,12.999,11.761000000000001,14.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.84,14.9,14.850754936644604,14.28357494268853,14.28357494268853,15.477451244104696,0,0,1,14.405999999999999,14.850754936644604,14.28357494268853,1,14.436553798215277,15.183446201784722,13.965,13.965,0,1,0,0,1,53.057785022221466,55.74063943766912,53.057785022221466,55.74063943766912,28.283712262164414,50,90,10,0,0,0,0,0,0,28.283712262164414,63.055555555555486,69.35185185185196,63.055555555555486,69.35185185185196,100,100,0,0,100,100,0,0,0,0,1,1,0
